Country,Proj_Area,District,Cluster,Village,Group_Name,date_registered,Groups,Trees,Date,Year_Enroled
KE,Meru,Igembe,Anchenge,Athiru Gaiti,20582,9/18/2008 0:00,1,989,2008-09-18 00:00:00 UTC,2008
KE,Meru,Igembe,Anchenge,Auki,30710,5/23/2008 0:00,1,301,2008-05-23 00:00:00 UTC,2008
KE,Meru,Tigania East,Ankamia,Kiolo,10608,7/19/2022 15:58,1,767,2022-07-19 15:58:00 UTC,2022
KE,Meru,Tigania East,Ankamia,Ngombenjiru,32232,12/06/2021 06:31,1,264,2021-12-06 06:31:00 UTC,2021
UG,Soroti,Soroti,Palam,Acucu,38101,12/27/2022 22:44,1,434,2022-12-27 22:44:00 UTC,2022
UG,Lira,Uganda - Kole,Alworo,ACUNG APENYI,33347,12/27/2022 22:44,1,2394,2022-12-27 22:44:00 UTC,2022
UG,Lira,Uganda - Kole,Alworo,ACUNG APENYI,33566,12/27/2022 22:44,1,1792,2022-12-27 22:44:00 UTC,2022
UG,Gulu,Uganda - Gulu,CET KANA OWOO,Alokiwinyo,19895,12/27/2022 22:44,1,2368,2022-12-27 22:44:00 UTC,2022
UG,Lira,Uganda - Kole,Alworo,Barowo,23371,12/27/2022 22:44,1,1455,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Ivisuni,18788,12/27/2022 22:44,1,325,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Katetani,36252,12/27/2022 22:44,1,101,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Katovo,28129,12/27/2022 22:44,1,28,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Matiku,27990,12/27/2022 22:44,1,89,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Matiku,15737,12/27/2022 22:44,1,33,2022-12-27 22:44:00 UTC,2022
KE,Meru,Tigania East,Ankamia,Ngombenjiru,36306,12/06/2021 06:31,1,474,2021-12-06 06:31:00 UTC,2021
KE,Machakos,Kenya - Mbeere South,Mulala,Muthesya,36373,12/27/2022 22:44,1,11,2022-12-27 22:44:00 UTC,2022
KE,Machakos,Kenya - Mbeere South,Mulala,Ndiithini,35461,12/27/2022 22:44,1,81,2022-12-27 22:44:00 UTC,2022
UG,Kanungu,Uganda - Kanungu,Mafuga,Nyamugari,24617,12/27/2022 22:44,1,1951,2022-12-27 22:44:00 UTC,2022
UG,Amuru,Uganda - Amuru,Otorokume,Ocipi B,19179,12/27/2022 22:44,1,524,2022-12-27 22:44:00 UTC,2022
KE,Nanyuki,Kenya - Manga,KIARUTARA,Kamari,16163,12/26/2022 22:37,1,330,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Manga,KIARUTARA,Karangari,14790,12/26/2022 22:37,1,216,2022-12-26 22:37:00 UTC,2022
KE,Meru,Tigania East,Ankamia,Antuarimata,10774,07/04/2021 18:10,1,210,2021-07-04 18:10:00 UTC,2021
KE,Nanyuki,Kenya - Manga,KIARUTARA,MATARA,35761,12/26/2022 22:37,1,136,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Manga,KIARUTARA,MATARA,34382,12/26/2022 22:37,1,153,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Manga,KIARUTARA,Miugu,28511,12/26/2022 22:37,1,0,2022-12-26 22:37:00 UTC,2022
KE,Meru,Tigania,Ankamia,Ametho,19866,4/14/2021 7:26,1,709,2021-04-14 07:26:00 UTC,2021
KE,Nanyuki,Kenya - Nyeri North,Kahuho,Ndiriti,29630,12/26/2022 22:37,1,141,2022-12-26 22:37:00 UTC,2022
KE,Nanyuki,Kenya - Nyandarua,Boiman,Ngatho,14302,12/26/2022 22:37,1,867,2022-12-26 22:37:00 UTC,2022
UG,Soroti,Soroti,Obule,Osikai,33562,12/26/2022 22:37,1,789,2022-12-26 22:37:00 UTC,2022
